Transaction Date,Type,Inflows,Outflows,Fees,E-Levy
01/04/2024,Inflow,1000,0,0,10
05/04/2024,Outflow,0,200,1,2
10/04/2024,Outflow,0,300,2,3
15/04/2024,Outflow,0,50,0,0.5
20/04/2024,Outflow,0,100,2,1
25/04/2024,Outflow,0,500,5,5
01/05/2024,Inflow,800,0,0,8
05/05/2024,Outflow,0,150,1,1.5
10/05/2024,Outflow,0,200,0,2
15/05/2024,Outflow,0,75,0,0.75
20/05/2024,Outflow,0,120,2,1.2
25/05/2024,Outflow,0,400,3,4
01/06/2024,Inflow,900,0,0,9
05/06/2024,Outflow,0,100,1,1
10/06/2024,Outflow,0,250,2,2.5
15/06/2024,Outflow,0,80,0,0.8
20/06/2024,Outflow,0,150,2,1.5
25/06/2024,Outflow,0,300,4,3
01/07/2024,Inflow,700,0,0,7
05/07/2024,Outflow,0,80,1,0.8
10/07/2024,Outflow,0,300,2,3
15/07/2024,Outflow,0,90,0,0.9
20/07/2024,Outflow,0,180,2,1.8
25/07/2024,Outflow,0,200,3,2
01/08/2024,Inflow,600,0,0,6
05/08/2024,Outflow,0,70,1,0.7
10/08/2024,Outflow,0,350,2,3.5
15/08/2024,Outflow,0,100,0,1
20/08/2024,Outflow,0,200,2,2
25/08/2024,Outflow,0,150,4,1.5
01/09/2024,Inflow,500,0,0,5
05/09/2024,Outflow,0,60,1,0.6
10/09/2024,Outflow,0,400,2,4
15/09/2024,Outflow,0,120,0,1.2
20/09/2024,Outflow,0,250,2,2.5
25/09/2024,Outflow,0,100,3,1
01/10/2024,Inflow,400,0,0,4
05/10/2024,Outflow,0,50,1,0.5
10/10/2024,Outflow,0,300,2,3
15/10/2024,Outflow,0,80,0,0.8
20/10/2024,Outflow,0,150,2,1.5
25/10/2024,Outflow,0,200,3,2
